"LUCAS_ID","LC_5","PA","nonPA.1","nonPA.2","nonPA.3","nonPA.4","nonPA.5","mahal.min.1","mahal.min.2","mahal.min.3","mahal.min.4","mahal.min.5","nonPA"
28282190,"Grassland",1,37222482,28722216,31122376,37022386,28602222,1.21050372733542,1.97289266708661,2.04400690668039,2.18006478430121,2.57814498213647,1
28302282,"Other",1,28782280,29462254,29582266,28442408,32202322,7.34082991522539,8.13228973084489,9.3327596272468,10.5179663577945,13.3732337133246,1
29461660,"Grassland",1,37922448,32242312,37022386,28722216,28602222,3.57280654880301,3.879251114868,4.25446799511151,4.43297291479693,4.6786474908318,1
29542352,"Other",1,29582266,29462254,28782280,32202322,30122298,1.85142694129951,1.87406781397833,3.35017466041655,3.82320223749748,5.66594467647703,1
30562338,"Grassland",1,37922448,38842482,39962440,32082174,28722216,1.88458177704805,2.10438722103931,2.25843521303333,2.935370249436,3.1474783197543,1
31162316,"Other",1,29582266,29462254,32202322,30122298,28782280,1.62552261776159,1.98247635320453,2.14770514401205,3.19756113929635,3.61057690638144,1
31222070,"Forest",1,31141720,30182092,33581994,33401850,32122142,1.027684304128,1.75044854463447,2.58799718826771,2.7364806393457,3.02076599859874,1
31322314,"Grassland",1,37922448,38842482,28722216,32082174,34461998,1.32369736395797,2.14504688353734,2.54785045088623,2.57206175821736,2.71372205082918,1
31722110,"Forest",1,31141720,30182092,32122142,33401850,33581994,0.335242184258746,0.866417194568487,1.0039541729725,1.02426911814626,1.23046720244835,1
32201782,"Forest",1,31141720,33401850,32122142,30182092,33581994,0.53370271400475,2.04876196600996,2.28967851631891,2.41796484323851,2.45406105734007,1
32522074,"Forest",1,31141720,30182092,33401850,32122142,33581994,0.499196491673542,0.597305536033428,0.749901615746453,0.946103827472908,1.08055803980513,1
33062044,"Forest",1,31141720,32122142,33401850,33581994,30182092,0.205036533480925,0.712379192520741,0.755340907086156,1.1743372572316,1.60771903649431,1
34161996,"Other",1,34102020,34002034,33342038,32182122,33462052,0.554771294791862,1.12536938450023,1.42174229922659,1.48850855566641,2.91632000735251,1
34201972,"Other",1,34102020,34002034,33342038,32182122,33462052,0.414752022667273,1.08021318161024,1.39534115563335,1.52545295362459,2.6430349018495,1
34882068,"Agriculture",1,35342068,35642110,34982150,35182124,35882060,0.147688479955979,0.157869635566746,0.253328322192447,0.273171007435072,0.343334217497054,1
35702100,"Agriculture",1,35342068,34982150,34022174,34562164,35642110,0.104938529819777,0.162733786770875,0.210353311938891,0.252883522923765,0.285917424502626,1
37902328,"Other",1,28782280,29462254,32202322,29582266,48462300,1.5983818645689,2.09090145585639,2.2378535075637,2.41555974790768,4.60008824059424,1
37922340,"Other",1,28782280,32202322,29462254,29582266,48462300,1.76290498323533,1.80306348799224,1.96594791318811,2.16482393178816,4.48703359381374,1
39082708,"Agriculture",1,37242618,42462906,43162914,40322908,42602746,0.120057557247791,0.76712274114413,0.889069643497851,1.13548582927063,1.25497747438086,1
39122716,"Agriculture",1,37242618,43162914,42462906,40322908,42602746,0.149678514166505,0.796582991268885,0.836896585015931,1.16960155076357,1.17717951653203,1
39942574,"Forest",1,40262632,40482646,43062380,40962778,43022698,0.304495684672998,0.639995103300509,1.85556555991961,2.1821218109651,4.02176303552961,1
40262620,"Forest",1,40262632,40962778,40482646,43062380,38282398,0.406210492259619,2.33587413761349,2.40467061083065,5.79223718657218,7.33299599160035,1
42683042,"Grassland",1,37222482,43022764,44322920,45622768,44762764,1.12275440239519,1.144999218069,1.1851310174161,1.21082495203512,1.38378689587768,1
48362026,"Other",1,54841800,54581630,48462300,41722878,37602280,1.32824917043104,1.53998595997256,1.61454086683655,2.7597215429818,2.76681425693914,1
48941830,"Forest",1,52601984,54642202,55402180,43962560,55462186,1.10053865071616,1.15170494410196,2.657289622988,4.18304935092176,4.58941475457834,1
52561940,"Forest",1,52601984,54642202,55402180,44522550,47942370,0.414342732113745,0.932419567700028,2.80798876227327,4.77897063845519,4.9744718004721,1
54101838,"Other",1,54841800,54581630,54082440,37602280,37602280,0.135451760336256,1.46919840208484,3.59251534210765,4.17878644142107,4.17878644142107,1
54382628,"Grassland",1,54462696,54902668,54762692,55202844,52882778,0.184876713416771,0.196306580691422,0.247358989790065,0.393870288301663,0.490233822120168,1
54382676,"Grassland",1,54462696,54762692,54902668,55382862,52882778,0.0571859593189273,0.108333778419916,0.199461375861846,0.333442180104822,0.386905634161279,1
54401670,"Forest",1,52601984,54642202,53702216,54922222,55402180,1.29075669970533,1.44222149801925,3.76633635366893,4.05947107313125,4.19483891019245,1
